song_id,title,artist_id,year,duration
SOAAAQN12AB01856D3,Campeones De La Vida,ARAMIDF1187FB3D8D4,0,153.36444
SOAACFC12A8C140567,Supernatural Pt. II,ARNHTE41187B99289A,0,343.09179
SOAACTC12AB0186A20,Christmas Is Coming Soon,ARXWFZ21187FB43A0B,2008,180.76689
SOAADAD12A8C13D5B0,One Shot (Album Version),ARQTC851187B9B03AF,2005,263.99302
SOAADJH12AB018BD30,Black Light (Album Version),AR3FKJ61187B990357,1975,385.90649
SOAADUU12AB0183B6F,Intro / Locataire (Instrumental),AR70XXH1187FB44B55,0,101.92934
SOAAEHR12A6D4FB060,Slaves & Bulldozers,AR5N8VN1187FB37A4E,1991,415.81669
SOAAETA12A6D4FC626,Shine,ARQXK0B1187B9ACC97,2007,448.23465
SOAAFHQ12A6D4F836E,Ridin' Rims (Explicit Album Version),AR3CQ2D1187B9B1953,2006,322.84689
SOAAFUV12AB018831D,Where Do The Children Play? (LP Version),AR5ZGC11187FB417A3,0,216.05832